feature,importance
queue_service_capacity,0.3405294068775073
distance_km,0.14106132095245685
booking_lead_hours,0.1391215807143766
estimated_backlog_minutes,0.06854971058108124
queue_length_at_arrival,0.04541580324788111
hour_sin,0.04264693236474081
hour,0.03920072394233148
service_id,0.03166203783096364
month,0.03016402576013715
location_id,0.029662515345311218
staff_on_duty_at_arrival,0.023357176752134574
hour_cos,0.021133190522147825
day_sin,0.014230547859243069
day_of_week,0.009781788388681064
day_cos,0.006509100434501104
avg_duration_min,0.006081587805054474
service_complexity,0.006046577362448784
duration_std_min,0.004577988793080762
is_weekend,0.0002679844659208859
arrival_delay,0.0
reported_urgency,0.0
