feature,importance
no_show_rate,0.16507356075503457
previous_no_shows,0.13406390505800955
booking_channel,0.1313922477244012
previous_appointments,0.07857767476591374
booking_lead_hours,0.056704930946270056
distance_km,0.047397869730250765
month,0.04077693911377556
hour,0.036915846407512776
estimated_backlog_minutes,0.03637731155883232
queue_pressure,0.030837375476614935
queue_per_staff,0.030790649267990886
hour_sin,0.03002836890200321
queue_length_at_arrival,0.02571752513707083
day_sin,0.025687687427713286
service_id,0.022607636890448583
day_of_week,0.01976126294924667
staff_on_duty_at_arrival,0.01940317321729275
age_band,0.01772204907244468
hour_cos,0.016362991528469966
user_type,0.011206658088174039
location_id,0.011113698700737326
day_cos,0.010760115684410241
is_weekend,0.000720521597382068
arrival_delay,0.0
reported_urgency,0.0
